name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation,Procent_masy_max,Kategoria_masy
Northwest Africa 5969,50855,Valid,Brachinite,4000.0,Found,2009.0,0.0,0.0,"(0.000000, 0.000000)",0.006666666666666667,f
Almahata Sitta,48915,Valid,Ureilite-an,3950.0,Fell,2008.0,20.74575,32.41275,"(20.745750, 32.412750)",0.006583333333333333,f
Colony,5407,Valid,CO3.0,3912.0,Found,1975.0,35.35,-98.68333,"(35.350000, -98.683330)",0.00652,f
Doroninsk,7718,Valid,H5-7,3891.0,Fell,1805.0,51.2,112.3,"(51.200000, 112.300000)",0.006485,f
Ramlat as Sahmah 422,55659,Valid,H3.7-5,3879.0,Found,2010.0,20.5052,56.48438,"(20.505200, 56.484380)",0.006465,f
Northwest Africa 6135,51544,Valid,LL3.8,3800.0,Found,2008.0,0.0,0.0,"(0.000000, 0.000000)",0.006333333333333333,f
Moss,36592,Valid,CO3.6,3763.0,Fell,2006.0,59.43333,10.7,"(59.433330, 10.700000)",0.006271666666666667,f
Northwest Africa 6712,53721,Valid,Eucrite,3758.0,Found,2009.0,0.0,0.0,"(0.000000, 0.000000)",0.006263333333333333,f
Jiddat al Harasis 365,51632,Valid,H~4,3665.1,Found,2003.0,19.61865,56.04227,"(19.618650, 56.042270)",0.0061085,f
Pampa de Mejillones 014,54770,Valid,L/LL4-6,3650.0,Found,2006.0,-23.23017,-70.42219,"(-23.230170, -70.422190)",0.006083333333333333,f
Muleshoe,16846,Valid,H4/6,3600.0,Found,1972.0,34.12167,-102.695,"(34.121670, -102.695000)",0.006,f
Northwest Africa 5793,48993,Valid,LL3.8-4,3500.0,Found,2009.0,0.0,0.0,"(0.000000, 0.000000)",0.005833333333333334,f
Dar al Gani 313,5861,Valid,L/LL3,3294.0,Found,1997.0,26.80733,15.9015,"(26.807330, 15.901500)",0.00549,f
Tanezrouft 011,23812,Valid,L/LL5-6,3287.0,Found,1991.0,25.53389,0.36306,"(25.533890, 0.363060)",0.005478333333333333,f
Hammadah al Hamra 237,11720,Valid,CBb,3173.0,Found,1997.0,28.60933,13.04917,"(28.609330, 13.049170)",0.005288333333333333,f
Allan Hills 83100,595,Valid,CM1/2,3019.0,Found,1983.0,-76.71667,159.66667,"(-76.716670, 159.666670)",0.005031666666666667,f
Mount Wisting 95300,16810,Valid,H3.3,2733.0,Found,1995.0,-86.45,-165.43333,"(-86.450000, -165.433330)",0.004555,f
Northwest Africa 6588,53625,Valid,LL6-an,2730.0,Found,2008.0,0.0,0.0,"(0.000000, 0.000000)",0.00455,f
